Name,Location,Feedstock,RINs,Capacity (MMgy),link
Reeve Agri Energy,KS,Corn,D6,20,https://ethanolproducer.com/plant/ethanol/230
Ringneck Energy LLC,SD,Corn/Milo,D6,80,https://ethanolproducer.com/plant/ethanol/354
Sandhill Renewable Energy LLC,NE,Corn,D6,55,https://ethanolproducer.com/plant/ethanol/102
Show Me Ethanol LLC (SME Alcohol),MO,Corn,D6,66,https://ethanolproducer.com/plant/ethanol/297
Siouxland Energy Cooperative,IA,Corn,D6,70,https://ethanolproducer.com/plant/ethanol/229
Siouxland Ethanol LLC,NE,Corn,D6,100,https://ethanolproducer.com/plant/ethanol/228
Southwest Iowa Renewable Energy LLC,IA,Corn,D6,140,https://ethanolproducer.com/plant/ethanol/293
"Sterling Ethanol, LLC",CO,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/227
Tharaldson Ethanol LLC,ND,Corn,D6,175,https://ethanolproducer.com/plant/ethanol/318
The Andersons Albion Ethanol LLC,MI,Corn,D6,140,https://ethanolproducer.com/plant/ethanol/29
The Andersons Clymers Ethanol LLC,IN,Corn,D6,140,https://ethanolproducer.com/plant/ethanol/1
The Andersons Denison Ethanol LLC,IA,Corn,D6,62,https://ethanolproducer.com/plant/ethanol/260
The Andersons Greenville Ethanol LLC,OH,Corn,D6,135,https://ethanolproducer.com/plant/ethanol/30
Three Rivers Energy LLC,OH,Corn,D6,55,https://ethanolproducer.com/plant/ethanol/100
Trenton Agri Products LLC,NE,Corn/Milo,D6,50,https://ethanolproducer.com/plant/ethanol/31
"Tyton NC Biofuels, LLC",NC,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/313
United Energy Necedah LLC,WI,Corn,D6,101,https://ethanolproducer.com/plant/ethanol/58
United Ethanol LLC,WI,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/105
United Wisconsin Grain Producers LLC,WI,Corn,D6,62,https://ethanolproducer.com/plant/ethanol/298
Valero Renewable Fuels - Albert City,IA,Corn,D6,135,https://ethanolproducer.com/plant/ethanol/32
Valero Renewable Fuels - Albion,NE,Corn,D6,135,https://ethanolproducer.com/plant/ethanol/33
Valero Renewable Fuels - Aurora,SD,Corn,D6,140,https://ethanolproducer.com/plant/ethanol/34
Valero Renewable Fuels - Bloomingburg,OH,Corn,D6,135,https://ethanolproducer.com/plant/ethanol/41
Valero Renewable Fuels - Bluffton,IN,Corn,D6,135,https://ethanolproducer.com/plant/ethanol/275
Valero Renewable Fuels - Charles City,IA,Corn,D6,140,https://ethanolproducer.com/plant/ethanol/35
Valero Renewable Fuels - Fort Dodge,IA,Corn,D6,140,https://ethanolproducer.com/plant/ethanol/36
Valero Renewable Fuels - Hartley,IA,Corn,D6,140,https://ethanolproducer.com/plant/ethanol/37
Valero Renewable Fuels - Lakota,IA,Corn,D6,110,https://ethanolproducer.com/plant/ethanol/202
Valero Renewable Fuels - Linden,IN,Corn,D6,135,https://ethanolproducer.com/plant/ethanol/178
Valero Renewable Fuels - Mount Vernon,IN,Corn,D6,100,https://ethanolproducer.com/plant/ethanol/76
Valero Renewable Fuels - Welcome,MN,Corn,D6,140,https://ethanolproducer.com/plant/ethanol/38
Viridis Chemical Company,IL,,,,https://ethanolproducer.com/plant/ethanol/1503
Western New York Energy LLC,NY,Corn,D6,62,https://ethanolproducer.com/plant/ethanol/225
Western Plains Energy LLC,KS,Corn/Milo,D6,50,https://ethanolproducer.com/plant/ethanol/224
White Energy Hereford LLC,TX,Corn/Milo,D6,130,https://ethanolproducer.com/plant/ethanol/45
White Energy Plainview LLC,TX,Corn/Milo,D6,130,https://ethanolproducer.com/plant/ethanol/46
Yuma Ethanol LLC,CO,Corn,D6,60,https://ethanolproducer.com/plant/ethanol/296
ZFS Riga LLC,MI,Corn,D6,55,https://ethanolproducer.com/plant/ethanol/181
